,tweets,user_name,location,geo
0,"Wisconsin COVID Cases Increase To 51,049 Deaths To 911 - Wisconsin (2019-nCoV) - Recombinomics Inc. Wisconsin COVID… https://t.co/pGgegdtwX4",HNimanFC,,
1,"#TrumpNSC #OBrien #COVID POSITIVE Thus he exposed everyone he saw last 10 days in #Europe , on planes, and in #US… https://t.co/0X3S6shL81",LOrion,California,
2,@9NEWS You know who else didn't test positive for COVID...Marty Colniglio. Where's Marty???,garygaudin,Go fish,
3,"‘We see no point in wearing a face mask,’ Sweden’s top virus expert says as he touts the country’s improving COVID… https://t.co/kN8m39R5Va",seacaptim,"Plymouth, MA",
4,"@tedlieu @realDonaldTrump Like they always say, everything is bigger in Texas, including the number of COVID-19 cases 🤡🤡🤡",thaoctran,"dallas, texas",
5,@MiaFarrow I guess catching COVID-19 is free since doubt anyone will be wearing a mask?,Maria14005459,United States,
6,@fordnation You know what would help getting schools open full time. Promoting the use of hydroxychloroquine. What… https://t.co/xzXIDkvVkb,felkersfalls82,"British Columbia, Canada",
7,https://t.co/HOuZguU8Oa Jimmy Dore LIVE On STREAM  NEW COVID-19 RESEARCH FINDS STUNNING FINDINGS.,Robert44279020,"Philadelphia, PA",
8,"The COVID-19 outbreak on the Rutgers football team is reportedly connected to an on-campus party.

➡️… https://t.co/jWU9Oz6JGr",YahooSportsCFB,,
9,Conservative think tank leader says schools should reopen since most Texans dying from COVID-19 are elderly or Hisp… https://t.co/StAZdFUmaB,holybullies,"columbia, sc",
10,"Health officials say hospitalizations are a lagging indicator, meaning that they were expecting them to rise follow… https://t.co/Ct0dxQ4K9P",LakelandNewsPBS,North/Central Minnesota,
11,"Of the 27,000 tests yesterday, only 76 were positive. Because of previous false positives reported Toronto actually… https://t.co/jgvPi6DgPG",Markus4Ward2,Etobicoke,
12,@GovPritzker Do u still have a pediatrician running your covid response?,Edhaskell3,,
13,"@Tupac_Katari123 @NSWHealth @ScottMorrisonMP Yes, you're right, most were not severely affected by bushfires. It wa… https://t.co/NxY0ZbzJF6",KobieThatcher,"Sydney, Australia",
14,"Effective websites and digital marketing can help businesses survive COVID-19 | University of Nevada, Reno 

READ M… https://t.co/0iFnLIcbBg",IAM__Network,Worldwide,
15,"@Bamarooski Do this. I did it. Was fast and easy. 

https://t.co/P2RrvGazyQ",Rizzmiggiz,,
16,Indians vs braves in covid World Series,SportsPredicti8,,
17,"...States with 4% of the world’s has 25% of the world’s Coronavirus cases. In the other hand, yellow skin Vietnam w… https://t.co/SflUAhuaFM",canilor,"Miami, Fl.",
18,@PhlebotomyTechC Yes we are! Excited to have been able to learn Phlebotomy. #phlebotomy #Covid_19…… https://t.co/gHL0TcWJVc,PhlebotomyTechC,,
19,Exclusive: First Covid-19 vaccine tested on people in US show... https://t.co/KdXB4zjmcQ,withoutname2020,,
20,"We're only just beginning to learn how Covid-19 affects the brain
https://t.co/XxYdBmhEz1",feedpushr,Tou,
21,Stay up to date as we cover the ongoing COVID-19 pandemic and its effects across the world. https://t.co/R65GNXYr0g via @HuffPost,premil_willy,"Sugar Land, TX",
