,tweets,user_name,location,geo
0,If another COVID wave hits NYC I'm strongly considering shaving my head. Truly hoping that doesn't happen... But if… https://t.co/CeowSzkxCl,andreachasee,,
1,"@FLOTUS @WhiteHouse Knockoff Handbag maker for a daughter and pretentious decorating hack for a ""wife"". Donald is s… https://t.co/RJrFfcEZMp",creature4hire,centre of the universe,
2,“El pueblo de Venezuela continúa sufriendo opresión política y privación económica a manos del régimen de Nicolás M… https://t.co/zaLaUP0yPl,FranPelayo,"Washington, DC",
3,Arthur no vol reincorporar-se al Barça https://t.co/Xzi1mrIeU0 via @diariARA,sergihuete,Sant Sadurní d'Anoia,
4,"@JMcallister2000 I used to love birthdays. Due to covid, I just really cba for the first time ever this year.",chibs9105,"Leamington Spa, England",
5,@CNNBrasil Alexandre Garcia acabou de dizer que bolsonaro recuperou da covid e três dias! O presidente está com cov… https://t.co/te3mFHVZva,Marcelosilvajc,Araguaína-TO,
6,@RepDennyHeck U can refuse a return to work offer - for good cause.  What is questionable is if being at-risk for C… https://t.co/vj6S1l3LET,JohnRob64076796,,
7,"minha mãe fez o teste do covid e disse que testou positivo, vamos lá, pois eu tive contato com ela e to me sentindo mal",giuzinha__,"Bonsucesso, Rio de Janeiro",
8,restarted my laptop so i can do my mandatory covid training before going back to school and it says 30 minutes rema… https://t.co/3QHBP9nPRC,becspants,"21, she/her, lg(b)t",
9,#florida #MN24 Mike Pence y Ron DeSantis asistirán a mesa redonda sobre COVID-19 https://t.co/eK941iWs5W,miaminews24,"Miami, FL",
10,imagine calling covid the china virus,alrexxguy,th,
11,@shaondatta1 Hi Shaon. Are you based in Kolkata? Would you be interested in sharing your experiences regarding gett… https://t.co/BRl5NWIkpk,nehabnk,"Kolkata, India",
12,What if the cure for Covid was playing football? Maybe we should give it a shot. 🏈🏈🏈,KerryTaylor15,"Phoenix, AZ",
13,La microbióloga venezolana Carla Solórzano coordina la parte laboratoria que prueba la vacuna de Oxford en la Escue… https://t.co/RHSBJjkxOO,CorreodelCaroni,"Ciudad Guayana, Venezuela",
14,"Latinos are among the hardest hit by COVID-19, making up about 60% of deaths in LA County outside nursing homes. We… https://t.co/i9pyMoRcTv",_mrslva,"California, USA",
15,16 minutos que o enf voltou do atestado de covid e a gay já está estragando meu dia pqpqqqq para de tirar as coisas… https://t.co/PoEjIfIxgO,brandaorm,,
16,"How is it that free testing has an ""expiration date"" when the damn Covid is still running rampant?

Arizona trying… https://t.co/TtT5b0lXYJ",QuestionableAl3,,
