,tweets,user_name,location,geo,ftokens,lemma
0,Wisconsin COVID Cases Increase To 51049 Deaths To 911  Wisconsin 2019nCoV  Recombinomics Inc Wisconsin COVID… ,HNimanFC,,,"['wisconsin', 'covid', 'cases', 'increase', '51049', 'deaths', '911', 'wisconsin', '2019ncov', 'recombinomics', 'inc', 'wisconsin', 'covid…']","['wisconsin', 'covid', 'case', 'increase', '51049', 'death', '911', 'wisconsin', '2019ncov', 'recombinomics', 'inc', 'wisconsin', 'covid…']"
1,TrumpNSC OBrien COVID POSITIVE Thus he exposed everyone he saw last 10 days in Europe  on planes and in US… ,LOrion,California,,"['trumpnsc', 'obrien', 'covid', 'positive', 'thus', 'exposed', 'everyone', 'saw', 'last', '10', 'days', 'europe', 'planes', 'us…']","['trumpnsc', 'obrien', 'covid', 'positive', 'thus', 'expose', 'everyone', 'saw', 'last', '10', 'day', 'europe', 'plane', 'us…']"
2, You know who else didnt test positive for COVIDMarty Colniglio Wheres Marty,garygaudin,Go fish,,"['know', 'else', 'didnt', 'test', 'positive', 'covidmarty', 'colniglio', 'wheres', 'marty']","['know', 'else', 'didnt', 'test', 'positive', 'covidmarty', 'colniglio', 'wheres', 'marty']"
3,‘We see no point in wearing a face mask’ Sweden’s top virus expert says as he touts the country’s improving COVID… ,seacaptim,"Plymouth, MA",,"['‘', 'see', 'point', 'wearing', 'face', 'mask', '’', 'sweden', '’', 'top', 'virus', 'expert', 'says', 'touts', 'country', '’', 'improving', 'covid…']","['‘', 'see', 'point', 'wear', 'face', 'mask', '’', 'sweden', '’', 'top', 'virus', 'expert', 'say', 'touts', 'country', '’', 'improve', 'covid…']"
4,  Like they always say everything is bigger in Texas including the number of COVID19 cases 🤡🤡🤡,thaoctran,"dallas, texas",,"['like', 'always', 'say', 'everything', 'bigger', 'texas', 'including', 'number', 'covid19', 'cases', '🤡🤡🤡']","['like', 'always', 'say', 'everything', 'big', 'texas', 'include', 'number', 'covid19', 'case', '🤡🤡🤡']"
5, I guess catching COVID19 is free since doubt anyone will be wearing a mask,Maria14005459,United States,,"['guess', 'catching', 'covid19', 'free', 'since', 'doubt', 'anyone', 'wearing', 'mask']","['guess', 'catch', 'covid19', 'free', 'since', 'doubt', 'anyone', 'wear', 'mask']"
6, You know what would help getting schools open full time Promoting the use of hydroxychloroquine What… ,felkersfalls82,"British Columbia, Canada",,"['know', 'would', 'help', 'getting', 'schools', 'open', 'full', 'time', 'promoting', 'use', 'hydroxychloroquine', 'what…']","['know', 'would', 'help', 'get', 'school', 'open', 'full', 'time', 'promote', 'use', 'hydroxychloroquine', 'what…']"
7, Jimmy Dore LIVE On STREAM  NEW COVID19 RESEARCH FINDS STUNNING FINDINGS,Robert44279020,"Philadelphia, PA",,"['jimmy', 'dore', 'live', 'stream', 'new', 'covid19', 'research', 'finds', 'stunning', 'findings']","['jimmy', 'dore', 'live', 'stream', 'new', 'covid19', 'research', 'find', 'stunning', 'finding']"
8,The COVID19 outbreak on the Rutgers football team is reportedly connected to an oncampus party➡️… ,YahooSportsCFB,,,"['covid19', 'outbreak', 'rutgers', 'football', 'team', 'reportedly', 'connected', 'oncampus', 'party➡️…']","['covid19', 'outbreak', 'rutgers', 'football', 'team', 'reportedly', 'connect', 'oncampus', 'party➡️…']"
9,Conservative think tank leader says schools should reopen since most Texans dying from COVID19 are elderly or Hisp… ,holybullies,"columbia, sc",,"['conservative', 'think', 'tank', 'leader', 'says', 'schools', 'reopen', 'since', 'texans', 'dying', 'covid19', 'elderly', 'hisp…']","['conservative', 'think', 'tank', 'leader', 'say', 'school', 'reopen', 'since', 'texan', 'die', 'covid19', 'elderly', 'hisp…']"
10,Health officials say hospitalizations are a lagging indicator meaning that they were expecting them to rise follow… ,LakelandNewsPBS,North/Central Minnesota,,"['health', 'officials', 'say', 'hospitalizations', 'lagging', 'indicator', 'meaning', 'expecting', 'rise', 'follow…']","['health', 'official', 'say', 'hospitalization', 'lag', 'indicator', 'meaning', 'expect', 'rise', 'follow…']"
11,Of the 27000 tests yesterday only 76 were positive Because of previous false positives reported Toronto actually… ,Markus4Ward2,Etobicoke,,"['27000', 'tests', 'yesterday', '76', 'positive', 'previous', 'false', 'positives', 'reported', 'toronto', 'actually…']","['27000', 'test', 'yesterday', '76', 'positive', 'previous', 'false', 'positive', 'report', 'toronto', 'actually…']"
12, Do u still have a pediatrician running your covid response,Edhaskell3,,,"['u', 'still', 'pediatrician', 'running', 'covid', 'response']","['u', 'still', 'pediatrician', 'run', 'covid', 'response']"
13,   Yes youre right most were not severely affected by bushfires It wa… ,KobieThatcher,"Sydney, Australia",,"['yes', 'youre', 'right', 'severely', 'affected', 'bushfires', 'wa…']","['yes', 'youre', 'right', 'severely', 'affected', 'bushfires', 'wa…']"
14,Effective websites and digital marketing can help businesses survive COVID19  University of Nevada Reno READ M… ,IAM__Network,Worldwide,,"['effective', 'websites', 'digital', 'marketing', 'help', 'businesses', 'survive', 'covid19', 'university', 'nevada', 'reno', 'read', 'm…']","['effective', 'website', 'digital', 'marketing', 'help', 'business', 'survive', 'covid19', 'university', 'nevada', 'reno', 'read', 'm…']"
15, Do this I did it Was fast and easy ,Rizzmiggiz,,,"['fast', 'easy']","['fast', 'easy']"
16,Indians vs braves in covid World Series,SportsPredicti8,,,"['indians', 'vs', 'braves', 'covid', 'world', 'series']","['indian', 'vs', 'brave', 'covid', 'world', 'series']"
17,States with 4 of the world’s has 25 of the world’s Coronavirus cases In the other hand yellow skin Vietnam w… ,canilor,"Miami, Fl.",,"['states', '4', 'world', '’', '25', 'world', '’', 'coronavirus', 'cases', 'hand', 'yellow', 'skin', 'vietnam', 'w…']","['state', '4', 'world', '’', '25', 'world', '’', 'coronavirus', 'case', 'hand', 'yellow', 'skin', 'vietnam', 'w…']"
18, Yes we are Excited to have been able to learn Phlebotomy phlebotomy Covid19…… ,PhlebotomyTechC,,,"['yes', 'excited', 'able', 'learn', 'phlebotomy', 'phlebotomy', 'covid19……']","['yes', 'excite', 'able', 'learn', 'phlebotomy', 'phlebotomy', 'covid19……']"
19,Exclusive First Covid19 vaccine tested on people in US show ,withoutname2020,,,"['exclusive', 'first', 'covid19', 'vaccine', 'tested', 'people', 'us', 'show']","['exclusive', 'first', 'covid19', 'vaccine', 'test', 'people', 'u', 'show']"
20,Were only just beginning to learn how Covid19 affects the brain,feedpushr,Tou,,"['beginning', 'learn', 'covid19', 'affects', 'brain']","['begin', 'learn', 'covid19', 'affect', 'brain']"
21,Stay up to date as we cover the ongoing COVID19 pandemic and its effects across the world  via ,premil_willy,"Sugar Land, TX",,"['stay', 'date', 'cover', 'ongoing', 'covid19', 'pandemic', 'effects', 'across', 'world', 'via']","['stay', 'date', 'cover', 'ongoing', 'covid19', 'pandemic', 'effect', 'across', 'world', 'via']"
22, So we can eitherA Make it safe by beating COVIDorB Con the entire populace into believing it’s… ,michaelvsprague,The Specific Northwest,,"['eithera', 'make', 'safe', 'beating', 'covidorb', 'con', 'entire', 'populace', 'believing', '’', 's…']","['eithera', 'make', 'safe', 'beating', 'covidorb', 'con', 'entire', 'populace', 'believe', '’', 's…']"
23, I would but right now they are only offering a limited menu because of Covid unfortunately ,Riddleintime,'somewhere' In Time,,"['would', 'right', 'offering', 'limited', 'menu', 'covid', 'unfortunately']","['would', 'right', 'offer', 'limited', 'menu', 'covid', 'unfortunately']"
24,Lol now when niggas message me talkin bout “wyd” i reply with  “avoiding COVID” No foo ain’t nobody trying to kick it,D_craaaazy,,,"['lol', 'niggas', 'message', 'talkin', 'bout', '“', 'wyd', '”', 'reply', '“', 'avoiding', 'covid', '”', 'foo', '’', 'nobody', 'trying', 'kick']","['lol', 'niggas', 'message', 'talkin', 'bout', '“', 'wyd', '”', 'reply', '“', 'avoid', 'covid', '”', 'foo', '’', 'nobody', 'try', 'kick']"
25,  Stalking the annoying Congressman Covid ,True_Attendant,"Washington, USA",,"['stalking', 'annoying', 'congressman', 'covid']","['stalk', 'annoy', 'congressman', 'covid']"
26,Covid19 health TipsTeamPNPWeServeAndProtectPNPKakampiMOPNPCHIEFARCHIEGAMBOAPULISATKOMUNIDAD ,kauswaganmps,,,"['covid19', 'health', 'tipsteampnpweserveandprotectpnpkakampimopnpchiefarchiegamboapulisatkomunidad']","['covid19', 'health', 'tipsteampnpweserveandprotectpnpkakampimopnpchiefarchiegamboapulisatkomunidad']"
27,Eugene Robinson Trump ‘still basically a covid denier’  via ,armwood,"Brookhaven, Georgia",,"['eugene', 'robinson', 'trump', '‘', 'still', 'basically', 'covid', 'denier', '’', 'via']","['eugene', 'robinson', 'trump', '‘', 'still', 'basically', 'covid', 'denier', '’', 'via']"
28,During covid times you shouldn’t let your children share any foodsjust to be safe 🤷‍♀️,sierraKv2,United States,,"['covid', 'times', '’', 'let', 'children', 'share', 'foodsjust', 'safe', '🤷\u200d♀️']","['covid', 'time', '’', 'let', 'child', 'share', 'foodsjust', 'safe', '🤷\u200d♀️']"
29, Sad indeed But conservative MPP quoting an alt right site What are the actual stats People dyi… ,jbcashmoney,"Ottawa, Canada",,"['sad', 'indeed', 'conservative', 'mpp', 'quoting', 'alt', 'right', 'site', 'actual', 'stats', 'people', 'dyi…']","['sad', 'indeed', 'conservative', 'mpp', 'quote', 'alt', 'right', 'site', 'actual', 'stats', 'people', 'dyi…']"
30,WHO official warns that COVID19 is one big wave  ,littleoldmare,"Oregon, USA",,"['official', 'warns', 'covid19', 'one', 'big', 'wave']","['official', 'warns', 'covid19', 'one', 'big', 'wave']"
31, They say what is BS That they have 0 covid deaths,RichardJAndreas,"Tampa, FL",,"['say', 'bs', '0', 'covid', 'deaths']","['say', 'b', '0', 'covid', 'death']"
