,tweets,user_name,location,geo,ftokens,lemma,positive,neutral,negative
0,Wisconsin COVID Cases Increase To 51049 Deaths To 911  Wisconsin 2019nCoV  Recombinomics Inc Wisconsin COVID… ,HNimanFC,,,"['wisconsin', 'covid', 'cases', 'increase', '51049', 'deaths', '911', 'wisconsin', '2019ncov', 'recombinomics', 'inc', 'wisconsin', 'covid…']","['wisconsin', 'covid', 'case', 'increase', '51049', 'death', '911', 'wisconsin', '2019ncov', 'recombinomics', 'inc', 'wisconsin', 'covid…']",0,1,0
1, You know who else didnt test positive for COVIDMarty Colniglio Wheres Marty,garygaudin,Go fish,,"['know', 'else', 'didnt', 'test', 'positive', 'covidmarty', 'colniglio', 'wheres', 'marty']","['know', 'else', 'didnt', 'test', 'positive', 'covidmarty', 'colniglio', 'wheres', 'marty']",1,0,0
2, You know what would help getting schools open full time Promoting the use of hydroxychloroquine What… ,felkersfalls82,"British Columbia, Canada",,"['know', 'would', 'help', 'getting', 'schools', 'open', 'full', 'time', 'promoting', 'use', 'hydroxychloroquine', 'what…']","['know', 'would', 'help', 'get', 'school', 'open', 'full', 'time', 'promote', 'use', 'hydroxychloroquine', 'what…']",1,0,0
3,The COVID19 outbreak on the Rutgers football team is reportedly connected to an oncampus party➡️… ,YahooSportsCFB,,,"['covid19', 'outbreak', 'rutgers', 'football', 'team', 'reportedly', 'connected', 'oncampus', 'party➡️…']","['covid19', 'outbreak', 'rutgers', 'football', 'team', 'reportedly', 'connect', 'oncampus', 'party➡️…']",0,1,0
4,Of the 27000 tests yesterday only 76 were positive Because of previous false positives reported Toronto actually… ,Markus4Ward2,Etobicoke,,"['27000', 'tests', 'yesterday', '76', 'positive', 'previous', 'false', 'positives', 'reported', 'toronto', 'actually…']","['27000', 'test', 'yesterday', '76', 'positive', 'previous', 'false', 'positive', 'report', 'toronto', 'actually…']",0,0,1
5,   Yes youre right most were not severely affected by bushfires It wa… ,KobieThatcher,"Sydney, Australia",,"['yes', 'youre', 'right', 'severely', 'affected', 'bushfires', 'wa…']","['yes', 'youre', 'right', 'severely', 'affected', 'bushfires', 'wa…']",1,0,0
6,Effective websites and digital marketing can help businesses survive COVID19  University of Nevada Reno READ M… ,IAM__Network,Worldwide,,"['effective', 'websites', 'digital', 'marketing', 'help', 'businesses', 'survive', 'covid19', 'university', 'nevada', 'reno', 'read', 'm…']","['effective', 'website', 'digital', 'marketing', 'help', 'business', 'survive', 'covid19', 'university', 'nevada', 'reno', 'read', 'm…']",1,0,0
7,Exclusive First Covid19 vaccine tested on people in US show ,withoutname2020,,,"['exclusive', 'first', 'covid19', 'vaccine', 'tested', 'people', 'us', 'show']","['exclusive', 'first', 'covid19', 'vaccine', 'test', 'people', 'u', 'show']",1,0,0
8, They say what is BS That they have 0 covid deaths,RichardJAndreas,"Tampa, FL",,"['say', 'bs', '0', 'covid', 'deaths']","['say', 'b', '0', 'covid', 'death']",0,1,0
9,Do Not Listen To This IdiotCOVID19 is spread via droplets A mask prevents droplets from being spread Wea… ,catjacarol01,Home Sweet Home,,"['listen', 'idiotcovid19', 'spread', 'via', 'droplets', 'mask', 'prevents', 'droplets', 'spread', 'wea…']","['listen', 'idiotcovid19', 'spread', 'via', 'droplet', 'mask', 'prevents', 'droplet', 'spread', 'wea…']",0,1,0
10,Y’all need to have this energy with covid ,beephaniee,,,"['’', 'need', 'energy', 'covid']","['’', 'need', 'energy', 'covid']",0,1,0
11,Sorrento Therapeutics announces rapid COVID19 diagnostic saliva test with 30minute results   SRNE,jfigueredo,"Aventura, FL",,"['sorrento', 'therapeutics', 'announces', 'rapid', 'covid19', 'diagnostic', 'saliva', 'test', '30minute', 'results', 'srne']","['sorrento', 'therapeutic', 'announces', 'rapid', 'covid19', 'diagnostic', 'saliva', 'test', '30minute', 'result', 'srne']",0,1,0
12,   Your screenshot literally contains the words “Based on death certificate da… ,PRider1980,,,"['screenshot', 'literally', 'contains', 'words', '“', 'based', 'death', 'certificate', 'da…']","['screenshot', 'literally', 'contain', 'word', '“', 'base', 'death', 'certificate', 'da…']",0,1,0
13,   Explain why you need F35s and Apache helicopters to fight covid,adamlotus,,,"['explain', 'need', 'f35s', 'apache', 'helicopters', 'fight', 'covid']","['explain', 'need', 'f35s', 'apache', 'helicopter', 'fight', 'covid']",0,1,0
14,As the state works to prevent the spread of COVID19 plans to further restrict fitness centers and gymnastics gyms… ,AlisonKIRO7,Seattle,,"['state', 'works', 'prevent', 'spread', 'covid19', 'plans', 'restrict', 'fitness', 'centers', 'gymnastics', 'gyms…']","['state', 'work', 'prevent', 'spread', 'covid19', 'plan', 'restrict', 'fitness', 'center', 'gymnastics', 'gyms…']",0,1,0
15,Got my covid test Hopefully it’s all good Results in a week they said,bechobbit,SoCAL,,"['got', 'covid', 'test', 'hopefully', '’', 'good', 'results', 'week', 'said']","['get', 'covid', 'test', 'hopefully', '’', 'good', 'result', 'week', 'say']",1,0,0
16,Top 10 causes of death in US annual average vs COVID19 so farHeart disease 647KCancer 599KAccidents 1… ,PolicialCrazies,,,"['top', '10', 'causes', 'death', 'us', 'annual', 'average', 'vs', 'covid19', 'farheart', 'disease', '647kcancer', '599kaccidents', '1…']","['top', '10', 'cause', 'death', 'u', 'annual', 'average', 'vs', 'covid19', 'farheart', 'disease', '647kcancer', '599kaccidents', '1…']",1,0,0
17,Lazio Region to conduct coronavirus tests on passengers arriving in Rome by bus from abroad People arriving into R… ,H24News_,,,"['lazio', 'region', 'conduct', 'coronavirus', 'tests', 'passengers', 'arriving', 'rome', 'bus', 'abroad', 'people', 'arriving', 'r…']","['lazio', 'region', 'conduct', 'coronavirus', 'test', 'passenger', 'arrive', 'rome', 'bus', 'abroad', 'people', 'arrive', 'r…']",0,1,0
18,COVID19CURES NOBODY NEEDS TO DIE  FRONTLINE DOCTORS STORM DC  THOUSANDS OF DOCTORS ARE BEING SILENCED,WitnessnewsI,,,"['covid19cures', 'nobody', 'needs', 'die', 'frontline', 'doctors', 'storm', 'dc', 'thousands', 'doctors', 'silenced']","['covid19cures', 'nobody', 'need', 'die', 'frontline', 'doctor', 'storm', 'dc', 'thousand', 'doctor', 'silence']",0,1,0
19,    Test case for other destructive natural disasters and Covid combo,mjc5169,,,"['test', 'case', 'destructive', 'natural', 'disasters', 'covid', 'combo']","['test', 'case', 'destructive', 'natural', 'disaster', 'covid', 'combo']",0,0,1
